version 6
recent_area Area_Reception
unlock_puzzles 0
randomize 0
randomize_music 0
playtime 52073.93
nexus_unlocked 1

-section levels
1by1_clone_flower 1 1
1by1_inf 1 1
1by1_order_line 1 1
1by1_playerr_flip2 1 1
1by1_possess_v3 1 1
1by1_poswall_silliness 1 1
1by1_stack 1 1
2by2 1 1
3_and_9 1 1
3by3_fun_clone_heist 1 1
3by3ref 1 1
4by4_linear 1 1
5by1 1 1
7by1_careful_stowaway 1 1
7by3ref 1 1
align_setup_transfer 1 1
align_setup_transfer_flip 1 1
break_in 1 1
cage 1 1
cage_hard_0 1 1
cannon 1 1
cannon2 1 1
careful_cannon 1 1
careful_packing0 1 1
careful_packing1 1 1
carry 1 1
carry_adjust 1 1
carry_adjust_donut_hole 1 1
carry_player 1 1
carry_swap 1 1
catch_and_flip_2 1 1
clone_carousel 1 1
clone_first_2 1 1
clone_flip_ref 1 1
clone_mutual_rescue 1 1
clone_peel 1 1
clone_peel_setup 1 1
clone_ref_first_contact_2 1 1
clone_ref_first_contact_3 1 1
clone_rescue_ref_2 1 1
clone_separate_line 1 1
clone_separate_line_hard 1 1
clone_strategic_entrances 1 1
clone_switch_sides 1 1
clone_switch_sides_rescue 1 1
clone_transfer 1 1
clone_unstuck_trick 1 1
clone_unstuck_trick_3 1 1
competor_inspired 1 1
correct_placement 1 1
cycle_align 1 1
cycle_careful_left 1 1
cycle_cross 1 1
cycle_interlope_2 1 1
cycle_interlope_align 1 1
cycle_interlope_from_back_2_v2 1 1
cycle_line 1 1
cycle_poswall 1 1
cycle_ref 1 1
cycle_setup 1 1
dig 1 1
digest_2 1 1
digest_backing_1 1 1
digest_backing_3_v2 1 1
digest_eject_elbow 1 1
digest_reorder 1 1
dismantle_ocean_start_no_exit 1 1
dismantle_one_ocean_using_another 1 1
double_enter_clone 1 1
double_enter_transfer 1 1
dual_unstuck 1 1
eat_4_sides 1 1
eat_correct_order 1 1
eat_cycle 1 1
eat_long_line 1 1
eat_recognize 1 1
eat_ref_rescue_v2 1 1
eat_same_side 1 1
eat_stack_ref 1 1
eat_stack_v2 1 1
eat_then_tight_squash 1 1
elbow_finish_idiom 1 1
empty_carry_better 1 1
empty_lock_door 1 1
enter 1 1
enter_in_center_first 1 1
enter_in_center_unstuck 1 1
enter_the_ocean_10_foot_pole 1 1
enter_the_ocean_v2 1 1
enter_two_sides 1 1
exit_all_sides 1 1
exit_and_push_2 1 1
exit_possess_setup 1 1
find_spot 1 1
first_puzzle 1 1
flip_block_with_clone_3 1 1
flip_block3 1 1
flip_blocks 1 1
flip_clone_line 1 1
flip_cycle_ref 1 1
flip_elbows 1 1
flip_elbows_possess 1 1
flip_exit_block_1 1 1
flip_exit_block_2 1 1
flip_exit_block_3 1 1
flip_first 1 1
flip_iiexit_block_2 1 1
flip_non_ref_clones 1 1
flip_ref_basket 1 1
flip_ref_maze 1 1
flip_train 1 1
flipped_inf_block 1 1
float_in_space 1 1
float_in_space_0 1 1
full_align 1 1
full_align_2 1 1
full_v2 1 1
get_in_center 1 1
get_inside_yourself 1 1
grid_clone 1 1
hue_shift 1 1
hungry 1 1
hungry_flip 1 1
hungry_ref_flip 1 1
iboth_peel 1 1
iboth_ref_easy_d 1 1
iboth_ref_peel_d_v2 1 1
ienter_clone_setup 1 1
ienter_clone_setup_0 1 1
ienter_clone_setup_alt 1 1
ienter_just_ienter 1 1
ienter_nested 1 1
ienter_nested_0 1 1
ienter_ref_setups 1 1
ienter_send_block 1 1
iexit_clone_peel_b 1 1
iexit_garbage_dump 1 1
iexit_garbage_dump_0 1 1
iexit_just_push_out 1 1
iexit_nested_0_d 1 1
iexit_nested_setup_d 1 1
iexit_peel 1 1
iienter 1 1
iienter_bookmark_lite 1 1
iienter_hungry 1 1
iienter_sequence 1 1
iiexit_intro 1 1
